Day,Price,Percent_Change,Warning
1,100.0,,
2,101.49014245903369,1.4901424590336942,
3,101.06916855034783,-0.41479290351355,
4,86.47580971650228,-14.438981781645733,High
5,88.46674590474416,2.302304187458737,
6,87.23683424641007,-1.3902530784373868,
7,86.01797056693518,-1.3971892607107628,
8,83.4043202419891,-3.0384933610032805,
9,84.1906077968781,0.942741997785812,
10,84.36116501476134,0.20258461406377215,
11,80.75536250951228,-4.274244558640373,
12,79.30021865526334,-1.8019160697564152,
13,78.60627731109392,-0.8750812493798277,
14,80.5459931149423,2.4676347363095763,
15,77.59597118819269,-3.6625309499130676,
16,79.31503213213571,2.2153997399862346,
17,79.72279455400604,0.5141048435699069,
18,76.18663740755676,-4.435565971102296,
19,74.54136211670983,-2.159532625184135,
20,62.580662119561254,-16.045722344624778,High
21,61.857700997192346,-1.155246841248947,
22,63.770958802916425,3.092998567487859,
23,65.55261758622045,2.793840357348598,
24,66.20407313739337,0.9937902942106946,
25,68.14162496573846,2.926635381367082,
26,69.80262986167536,2.4375774671825834,
27,72.64270348321287,4.068720085712463,
28,73.43028609754539,1.0841868165252455,
29,76.81844005066786,4.614109699397906,
30,77.01904465045908,0.2611412047145212,
31,76.32816683616869,-0.8970220513976113,
32,79.71231513256501,4.433682134224548,
33,78.47293956367945,-1.5548106548209373,
34,80.62796841544642,2.7462063531062286,
35,81.42316443803195,0.9862533289790587,
36,79.7082629028218,-2.1061592816320585,
37,78.92474148709226,-0.9829864397933097,
38,78.93684883440062,0.015340369927385744,
39,78.38132176182874,-0.7037614001254355,
40,78.00206814397838,-0.4838571349980225,
41,74.6927029987721,-4.242663334384611,
42,70.39315674356438,-5.7563136458971265,Moderate
43,70.3371648818531,-0.07954162634764561,
44,69.93126113495383,-0.5770828943433726,
45,70.56388871319233,0.904642027000846,
46,72.98314937026237,3.428468443545052,
47,74.62950259549277,2.2557990980603293,
48,75.94340818564129,1.7605712814008134,
49,80.93392815674395,6.5713668774299405,Moderate
50,81.17588344942568,0.2989540952629266,
51,79.94978101888088,-1.5104269623485989,
52,77.4018525402425,-3.186911141178317,
53,78.5015604846485,1.4207772919055506,
54,76.6569623135545,-2.349759877008706,
55,75.91631458824176,-0.9661845486170217,
56,76.43435218679059,0.682379803812383,
57,79.43167047596764,3.921428262847293,
58,80.05095821022107,0.7796483827452683,
59,81.92852831131428,2.345468615331936,
60,82.5442036287546,0.7514785510376321,
61,83.40212237530068,1.0393446284909347,
62,84.13540836378735,0.8792174198960501,
63,82.33234091566038,-2.143054254079102,
64,79.38985674568917,-3.5739104916079456,
65,80.95356765374832,1.969660825901487,
66,83.29322969339192,2.890128387732971,
67,84.32468539020311,1.2383427808094982,
68,82.07444465735657,-2.668543288876568,
69,80.06572937482763,-2.447430854896304,
70,80.09695955352134,0.03900567563372981,
71,83.58966935915338,4.360602231471944,
72,95.63131783717394,14.405665879933238,High
73,97.01550202386765,1.4474172457295653,
74,98.3928435956052,1.4197128737206244,
75,98.17786828123664,-0.21848673797060236,
76,96.86273169674749,-1.3395448562010581,
77,99.35132549594667,2.569196382970418,
78,101.28740142653585,1.9487167593633892,
79,101.7545139219931,0.46117531783658183,
80,102.84670829018327,1.0733620810448485,
81,104.57695356809455,1.6823535791047117,
82,121.54770007135261,16.227998544830125,High
83,123.42118509122318,1.5413578527366356,
84,125.53498459283571,1.7126715320795016,
85,129.81158104716246,3.406696920541785,
